"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"P5",0.114621676808837,0,0.0230293520400771,0.107908709163576,0,0.233142999162545,0.0528835768152125,0,0,0,0,0,0.00817057109534728,0.143086464261151,9.36075327800971e-05,0.275520025511718,0,0.0199720013979232,0,0.0215710162108336,0,0,0.109,0.129982858990375,1.03880309225762
"P7",0.019789182332496,0,0,0.0126317881810894,0,0.259361337609923,0.0588584926282857,0.0453251773657797,0,0,0,0.0261577504163397,0.0294521270494046,0.0553400364404108,0.0280441612612697,0.230420517148735,0,0,0,0.193888779976056,0.0200273686428167,0.0207032809473933,0.155,0.110278543588388,1.05492235998684
"P9",0.0265256557349448,0,0,0.00500399164568897,0,0.28342573330803,0,0,0,0,0.0421492223338847,0.0398778664952897,0.250060770371953,0.0586466831797567,0.0561127684229476,0.220255206615737,0,0,0.0117269099379289,0,0,0.00621519195383892,0.812,-0.00598507444729205,1.10054411873997
"P10",0.0442678371769436,0,0,0.038608096602904,0,0.252718198116194,0,0.0218414350352545,0,0,0,0.0296830895333897,0.0122829479506749,0.153638876270446,0.0277676960949015,0.239036548402146,0,0,0,0.155725808609847,0,0.0244294662072985,0.011,0.255360743544814,0.99164857802421
"P16",0.0763346764959251,0,0.00686568758249193,0,0,0.203823698843927,0,0.025539054689912,0.00147809393309695,0,0.0240415224781646,0.0595979223284307,0.037336044335037,0.129423254533719,0.000814320222823824,0.301300356804275,0,0,0,0.117986756486926,0.0154586112652717,0,0.41,0.0479429614696769,1.08387706087387
"P17",0.0357816710990813,0,0,0.107268059934718,0,0.355937699355301,0.00211632535200189,0.0881696953519568,0,0.00432465307851497,0,0.0873347343027545,0.00713160906258748,0,0.0702274952433265,0.201794500569509,0.0300230944704475,0,0.00989046217980124,0,0,0,0.107,0.130856561518062,1.05656263426505
"P18",0.0262676024857401,0.0586091111996251,0,0.00270197679442809,0,0.431465830156484,0,0.0209993724306155,0,0,0,0.0767206804272706,0.0134478962171012,0.0856984488634977,0.0882318971409797,0.153720780295894,0,0,0,0.0421364039883632,0,0,0.205,0.0923712247182049,1.06516736374278
"P26",0.0291962751053075,0,0,0.0257833915561121,0,0.0840429406578524,0,0.0421945440782826,0,0,0,0.098155256109516,0,0,0,0.506247050844114,0,0,0,0.138923657805074,0.0111979131981427,0.0642589706455988,0.091,0.143989881903162,1.06242416004188
"P28",0.0191975504360445,0,0,0.023515326171674,0,0.346540724906361,0.0336880331012864,0,0,0,0.0141876805373589,0.0202135078276532,0.0380900866645424,0.0122093587375817,0.0262183374210699,0.42808056489691,0,0,0.0377432315762228,0,0,0.000315597723295513,0.152,0.110807733463397,1.05349450752723
"P29",0.0364266764114345,0,0.0367680872710355,0.0537780127194261,0,0.25983726389427,0.00306851605421206,0.0297148780424742,0,0,0.000877151254803316,0.0517149378020293,0.0233092961936845,0.114687819528487,0.0881762068595591,0.200127331762714,0,0.0114497553471245,0.0900640668587465,0,0,0,0.055,0.174125784807149,1.01531602922718
"P31",0.0341523824680183,0,0,0.00241650992374645,0,0.440910737035317,0,0,0,0,9.97857891332586e-05,0.0851571153899184,0.0492825977444411,0,0.0316584418422181,0.254378933479249,0,0,0.0910054620377316,0,0,0.0109380342902272,0.889,-0.0183127911870452,1.10414917171247
"P36",0.0356146441606962,0,0.00146509584180018,0.0265764202880944,0,0.409413258578365,0.0208905768107843,0,0,0,0,0.0303497277430777,0.00724088122281653,0.0748625733254132,0.0351547653905933,0.286825216634607,0,0,0,0.0698215690651652,0,0.00178527093858696,0.056,0.172268604906944,1.02624918230131
"P42",0.0444532201272067,0,0.00517409501720615,0,0,0.349777902228976,0.0156494753430706,0,0,0,0.0353244993167593,0.0122419748402219,0.0671896236635181,0.0688998995942662,0.0237768921981582,0.233486425055324,0,0,0,0.073039949055544,0,0.0709860435597494,0.335,0.0599803305588944,1.06710652152899
"P55",0.0586222244371496,0,0,0.00351545913887393,0,0.205245939254335,0,0,0,0,0,0.0533919616201666,0.0893928235343888,0,0.00793272959171743,0.341577219403788,0,0,0.139821269936883,0.0634339577305553,0,0.0370664153521419,0.28,0.0729788990711685,1.06483764404472
"P61",0.0114415548172234,0,0.00193932462085802,0,0.0688229107920244,0.131496938564956,0,0,0,0,0.0556831528698075,0.0123213096050158,0.0787619147976076,0,0,0.440041672237589,0,0.0978674575698878,0.0661781629317314,0,0,0.0354456011932996,0.023,0.227522028975227,0.999553264700819
