"CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval"
"B_cells_naive",0.0597667916047482,0.0324020741157255,-0.00374010668647128,0.123273689895968,0.0651050669334171,0,0.749687798050289
"B_cells_memory",-0.0432269368267935,0.034705727862442,-0.111248913494428,0.024795039840841,0.212937930714637,0,0.912702121336548
"Plasma_cells",-0.0689383714715668,0.0357201262952022,-0.138948532533385,0.00107178959025171,0.0536119449494075,0,0.59616327539404
"T_cells_CD8",-0.0559668633703012,0.035523413813479,-0.125591475052633,0.0136577483120302,0.115142864554592,0,0.968293102130507
"T_cells_CD4_naive",0.0606921425276741,0.0322280172538991,-0.00247361058310362,0.123857895638452,0.0596718380697243,0,0.565115278730101
"T_cells_CD4_memory_resting",-0.00603890907641694,0.0537256904411467,-0.111339327385612,0.0992615092327784,0.910504167563778,0.497417696187968,0.0124896159332112
"T_cells_CD4_memory_activated",-0.0407242553877693,0.0344326947119606,-0.108211096913875,0.0267625861383362,0.236919919828143,0,0.453899293454021
"T_cells_follicular_helper",-0.000732507379112862,0.0339598940957363,-0.0672926767255504,0.0658276619673247,0.982791141522797,0,0.940599797731984
"T_cells_regulatory_.Tregs.",0.0770994559291869,0.0606801378700831,-0.041831428873101,0.196030340731475,0.203875252875767,0.539391193367447,0.00538783122953501
"T_cells_gamma_delta",0.00956586843425745,0.0389913838689994,-0.0668558396563573,0.0859875765248723,0.806198696244576,0,0.469654530747698
"NK_cells_resting",0.0870089949091798,0.0373960677228046,0.013714049009062,0.160303940809298,0.0199818586396035,0.0179812810031151,0.431820043075368
"NK_cells_activated",-0.0441870624729906,0.0342973651675331,-0.111408662965974,0.0230345380199928,0.197623627244892,0.0107842458702083,0.43970345459025
"Monocytes",0.0370551782682337,0.0328545200198547,-0.0273384977000318,0.101448854236499,0.259380600647231,0,0.816469825669258
"Macrophages_M0",0.121863612998952,0.0333684348090823,0.0564626825526776,0.187264543445226,0.000260142440551038,0.26861892824474,0.153258800586649
"Macrophages_M1",-0.0863926393849138,0.0348610410830655,-0.154719024371293,-0.0180662543985343,0.013204702581348,0.248927486178667,0.173031007555022
"Macrophages_M2",0.0665843332175767,0.0332078285997334,0.00149818515732018,0.131670481277833,0.0449545588044403,0,0.584521420328166
"Dendritic_cells_resting",0.00783252157748276,0.0493303018177586,-0.0888530933318148,0.10451813648678,0.873844502442526,0.337269928304944,0.0922339847074172
"Dendritic_cells_activated",0.0235876688289203,0.0331622794174055,-0.0414092044744484,0.0885845421322889,0.476910691731833,0,0.462398338497743
"Mast_cells_resting",0.0249745577717198,0.0328419812625586,-0.0393945426838343,0.0893436582272739,0.446987954208938,0.189927116277361,0.236468080443704
"Mast_cells_activated",0.0552030278899114,0.0312436011419713,-0.00603330509568678,0.11643936087551,0.077251898381538,0.0289145877994981,0.419749245225261
"Eosinophils",0.0519848400608543,0.0428335105190974,-0.0319672978879941,0.135936978009703,0.224881850910408,0.194723354264494,0.231129953227372
"Neutrophils",0.051710591888741,0.0348169703580141,-0.0165294160637652,0.119950599841247,0.137487600351569,0.0369301360932952,0.41083188643733
