"Treatment","CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"PD-(L)1","B_cells_naive",0.0617643800747961,0.0335812619468772,-0.00405368389648866,0.127582444046081,0.0658782307385575,0,0.613554048636902,0.26091861987741
"PD-(L)1","B_cells_memory",-0.0326405010506206,0.0357660600515422,-0.10274069062054,0.0374596885192988,0.361447148992581,0,0.918726144264199,0.4969898298648
"PD-(L)1","Plasma_cells",-0.0571561020866197,0.0390172837212288,-0.133628572954809,0.0193163687815697,0.142950418658853,0,0.507342193605649,0.348293435407754
"PD-(L)1","T_cells_CD8",-0.0477520872200666,0.0371037148914097,-0.120474032099872,0.0249698576597389,0.198097987913354,0,0.955192850797805,0.352631770741349
"PD-(L)1","T_cells_CD4_naive",0.0605870511161452,0.0335763257104772,-0.00522133800957621,0.126395440241867,0.0711596236029301,0,0.670512040520996,0.26091861987741
"PD-(L)1","T_cells_CD4_memory_resting",-0.0158443799739661,0.0588111656465917,-0.131112146530105,0.0994233865821729,0.787613356469146,0.533723906857268,0.0094035662243319,0.824085538148322
"PD-(L)1","T_cells_CD4_memory_activated",-0.0469919944832492,0.0386544869797412,-0.122753396804414,0.028769407837916,0.224101840031059,0.0726416381572369,0.373418160022427,0.352631770741349
"PD-(L)1","T_cells_follicular_helper",0.00973045808892723,0.0351745892106209,-0.0592104699348808,0.0786713861127353,0.782061792889011,0,0.936986379421174,0.824085538148322
"PD-(L)1","T_cells_regulatory_.Tregs.",0.0897909207195472,0.0648673919091973,-0.0373468311935245,0.216928672632619,0.166290254158642,0.567397197095673,0.00463117660590451,0.348293435407754
"PD-(L)1","T_cells_gamma_delta",0.0105478040374402,0.0434508731109194,-0.0746143423567816,0.095709950431662,0.808197206466086,0.119989637355435,0.324540253657383,0.824085538148322
"PD-(L)1","NK_cells_resting",0.0702969737058114,0.0367426263895917,-0.00171725071519925,0.142311198126822,0.0557190372714176,0,0.456205137005849,0.26091861987741
"PD-(L)1","NK_cells_activated",-0.0541507364896526,0.0373908394192427,-0.127435435103089,0.0191339621237836,0.147551233318278,0.111139274053568,0.331313932486538,0.348293435407754
"PD-(L)1","Monocytes",0.0310550648661006,0.033862336818984,-0.0353138957314726,0.0974240254636738,0.35909154440862,0,0.891951805572675,0.4969898298648
"PD-(L)1","Macrophages_M0",0.129411751063693,0.0347797675710741,0.0612446592337137,0.197578842893672,0.000198520507554957,0.249240721819536,0.185266612259624,0.00436745116620905
"PD-(L)1","Macrophages_M1",-0.0755362896409672,0.0360998620969593,-0.14629071919787,-0.00478186008406441,0.0364004259969623,0.276965713147386,0.158288577984938,0.26091861987741
"PD-(L)1","Macrophages_M2",0.0731792203153285,0.0345421859839027,0.00547777983959492,0.140880660791062,0.0341288280801863,0,0.62554666863022,0.26091861987741
"PD-(L)1","Dendritic_cells_resting",0.012105576946922,0.0544576687466192,-0.0946294924784641,0.118840646372308,0.824085538148322,0.40890023703925,0.0554718301792432,0.824085538148322
"PD-(L)1","Dendritic_cells_activated",0.0214360235277982,0.03519382001444,-0.0475425961788891,0.0904146432344856,0.542468181184772,0.125417894938758,0.31888914576388,0.702017646239116
"PD-(L)1","Mast_cells_resting",0.0138195406658914,0.0335608325272961,-0.0519584823787894,0.0795975637105721,0.680503716825631,0.229532033953141,0.205181457651151,0.824085538148322
"PD-(L)1","Mast_cells_activated",0.0437307420839253,0.0321786278024236,-0.0193382094807442,0.106799693648595,0.174146717703877,0,0.601146916532207,0.348293435407754
"PD-(L)1","Eosinophils",0.0570959815151864,0.0469962225078906,-0.0350149220097098,0.149206885040083,0.224402035926313,0.261154988621147,0.173509907565833,0.352631770741349
"PD-(L)1","Neutrophils",0.0615832560878134,0.0375404065987067,-0.0119945888106415,0.135161100986268,0.100911104708921,0.109798337982324,0.332759142679843,0.317149186228036
